"id";"companyName";"skills";"url"
161;"
AnalyticsVidhya

";"

hive,python,machinelearning,pig,neo4j,cassandra,hadoop,bigdata
";"https://www.timesjobs.com/job-detail/data-science-machine-learning-engineer-analytics-vidhya-mumbai-4-to-5-yrs-jobid-6xN8SfmAZqVzpSvf__PLUS__uAgZw==&source=srp"
162;"
aitouchllp

";"

scala,erlang,artificialintelligence,docker,spring,java,devops,mqtt,python,naturallanguageprocessing,machinelearning,javascript,nosql,node.js,cassandra

";"https://www.timesjobs.com/job-detail/full-stack-data-science-architect-aitouch-llp-gurgaon-4-to-7-yrs-jobid-E4__SLASH__N6vr0QlBzpSvf__PLUS__uAgZw==&source=srp"
163;"
MaxgenTechnologies
(MoreJobs)
";"

internship,datascience
";"https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-mehsana-rajkot-surat-surendranagar-0-to-1-yrs-jobid-PlyRasRVU5VzpSvf__PLUS__uAgZw==&source=srp"
164;"
SAMPOORNACONSULTANTSPVTLTD
(MoreJobs)
";"
Python,Azure,ML

";"https://www.timesjobs.com/job-detail/machine-learning-python-azure-am-blr-j48114-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-7-to-10-yrs-jobid-S0732hwdIfNzpSvf__PLUS__uAgZw==&source=srp"
165;"
MaxgenTechnologies
(MoreJobs)
";"
datascience,machinelearning
";"https://www.timesjobs.com/job-detail/data-science-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-__SLASH__qBllR5gR4NzpSvf__PLUS__uAgZw==&source=srp"
166;"
SAMPOORNACONSULTANTSPVTLTD
(MoreJobs)
";"

.net

";"https://www.timesjobs.com/job-detail/data-engineer-j48090-sampoorna-consultants-pvt-ltd-chennai-5-to-8-yrs-jobid-g8XRA1AAUkFzpSvf__PLUS__uAgZw==&source=srp"
167;"
AeraTechnology

";"
pythonprogramming,machinelearning,datascience,softwareengineering,distributedsystems,c,hosting,docker,java,devops,san,writtencommunication,infrastructure

";"https://www.timesjobs.com/job-detail/aera-technology-software-engineer-python-machine-learning-aera-technology-pune-3-to-8-yrs-jobid-VZ4XF0hGUQxzpSvf__PLUS__uAgZw==&source=srp"
168;"
MaxgenTechnologies
(MoreJobs)
";"

internship,datascience,machinelearning
";"https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-mehsana-rajkot-surat-surendranagar-0-to-1-yrs-jobid-kyCY1vwyr__PLUS__pzpSvf__PLUS__uAgZw==&source=srp"
169;"
NielsenResearchLtd.Co.

";"
datascience,python,machinelearning,java,aws,fundamentals,sql,git,debugging,softwareengineering,bigdata,writtencommunication,productionenvironment,unix

";"https://www.timesjobs.com/job-detail/nielsen-machine-learning-researcher-nielsen-research-ltd-co-bengaluru-bangalore-3-to-5-yrs-jobid-8QBHilwOu5dzpSvf__PLUS__uAgZw==&source=srp"
170;"
CLOUDVISAIMMIGRATIONLLP
(MoreJobs)
";"
fullstackdeveloper,designing,WebsiteDesign,developer

";"https://www.timesjobs.com/job-detail/full-stack-developer-job-in-singapore-cloud-visa-immigration-llp-singapore-2-to-7-yrs-jobid-4pBVsA2__PLUS__HTdzpSvf__PLUS__uAgZw==&source=srp"
171;"
HRJobsPlacements
(MoreJobs)
";"
java,AdvancedJavaJ2EE

";"https://www.timesjobs.com/job-detail/java-full-stack-developer-hr-jobs-placements-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-kolkata-mumbai-3-to-8-yrs-jobid-tF5lFfpVZ05zpSvf__PLUS__uAgZw==&source=srp"
172;"
MaxgenTechnologies
(MoreJobs)
";"

internship,datascience
";"https://www.timesjobs.com/job-detail/data-science-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-GXTUGbNufiJzpSvf__PLUS__uAgZw==&source=srp"
173;"
FLIGHTTOSUCESSIMMIGRATIONLLP
(MoreJobs)
";"
Fullstackdeveloper,designing,Websitedesign,developer

";"https://www.timesjobs.com/job-detail/full-stack-developer-in-abroad-no-ielts-mandatory-flight-to-sucess-immigration-llp-germany-sweden-8-to-13-yrs-jobid-eHpucv0B__PLUS__wdzpSvf__PLUS__uAgZw==&source=srp"
174;"
AjayVijayChatur
(MoreJobs)
";"
DataEngineer,Processorientedwithgreatdocumentationskills,Excellentproblemsolvingandtroubleshootingskills

";"https://www.timesjobs.com/job-detail/data-engineer-ajay-vijay-chatur-bengaluru-bangalore-calicut-kozhikode-cochin-kochi-ernakulam-kannur-kollam-3-to-8-yrs-jobid-UKcoOd6y3VBzpSvf__PLUS__uAgZw==&source=srp"
175;"
LaxmiInfotech
(MoreJobs)
";"

fresher,mba,B.com,Tally,Accountant,accountsexecutive,java,c++,Html,oracle,Erp,embedded,MainframeCobol,.net,qa

";"https://www.timesjobs.com/job-detail/coding-analyst-software-engineer-laxmi-infotech-ahmedabad-delhi-gurgaon-kolkata-noida-greater-noida-0-to-3-yrs-jobid-Y8kQFDVHFRdzpSvf__PLUS__uAgZw==&source=srp"
176;"
netskopesoftwarepvt.ltd

";"
fullstackdevelopment,javascriptexpertise,html/css,modernjavascriptframeworks,backendlanguages(php,python,java,nodejs),algorithms,restapi,html5,compilers,git,testingtools,webdevelopment,teamplayer,machinelearning,bscs,angularjs,gateway

";"https://www.timesjobs.com/job-detail/sr-software-engineer-full-stack-netskope-software-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-00f2dXCDezJzpSvf__PLUS__uAgZw==&source=srp"
177;"
NielsenResearchLtd.Co.

";"
machinelearning,datascience,statisticalanalysis,softwaredevelopment,testautomation,sql,java,git,debugging,softwareengineer,bigdata,python,teamplayer,problemsolving,javascript

";"https://www.timesjobs.com/job-detail/nielsen-machine-learning-engineer-nielsen-research-ltd-co-gurgaon-7-to-10-yrs-jobid-7qDJM6UDF0pzpSvf__PLUS__uAgZw==&source=srp"
178;"
NielsenResearchLtd.Co.

";"
machinelearning,datascience,pytorch,statisticalanalysis,softwaredevelopment,sql,java,git,debugging,softwareengineer,bigdata,python,teamplayer,problemsolving,javascript

";"https://www.timesjobs.com/job-detail/nielsen-machine-learning-engineer-nielsen-research-ltd-co-bengaluru-bangalore-7-to-10-yrs-jobid-WlCAua1w9vxzpSvf__PLUS__uAgZw==&source=srp"
179;"
NielsenResearchLtd.Co.

";"

**machinelearning,datascience,statisticalanalysis,webtechnology,softwaredevelopment**,sql,java,git,debugging,softwareengineer,bigdata,python,teamplayer,problemsolving,javascript

";"https://www.timesjobs.com/job-detail/nielsen-machine-learning-engineer-nielsen-research-ltd-co-mumbai-7-to-10-yrs-jobid-KFdLshRrjQhzpSvf__PLUS__uAgZw==&source=srp"
180;"
Bytebrains
(MoreJobs)
";"

ComputerScience,OpenSource,FrontEnd,Javascript,VB.net,html,GIT,MVC,CSS,WebServices,html5,Css3,angular,Node.js,jquery,Bootstrap,CoreJava
";"https://www.timesjobs.com/job-detail/front-end-developer-full-stack-developer-fresher-experience-confiig-group-bengaluru-bangalore-chennai-hyderabad-secunderabad-pune-cochin-kochi-ernakulam-0-to-3-yrs-jobid-INNz9ypKHINzpSvf__PLUS__uAgZw==&source=srp"
181;"
NielsenResearchLtd.Co.

";"
pythondevelopment,kubernetes,distributedsystems,awscloud,azurecloud,orchestration,scala,artificialintelligence,security,apache,java,softwareengineer,webapi,bigdata,author,machinelearning,infrastructure

";"https://www.timesjobs.com/job-detail/nielsen-software-engineer-full-stack-nielsen-research-ltd-co-bengaluru-bangalore-4-to-9-yrs-jobid-jN2aXXp4VtFzpSvf__PLUS__uAgZw==&source=srp"
182;"
MaxgenTechnologies
(MoreJobs)
";"

internship,python,django

";"https://www.timesjobs.com/job-detail/python-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-hvI__PLUS____SLASH__gB3CvNzpSvf__PLUS__uAgZw==&source=srp"
183;"
SAMPOORNACONSULTANTSPVTLTD
(MoreJobs)
";"

YAML,API,Java
";"https://www.timesjobs.com/job-detail/senior-software-engineer-yaml-api-noida-j48143-sampoorna-consultants-pvt-ltd-noida-greater-noida-3-to-5-yrs-jobid-B89oKmtl5HRzpSvf__PLUS__uAgZw==&source=srp"
184;"
MaxgenTechnologies
(MoreJobs)
";"

internship,webdevelopment
";"https://www.timesjobs.com/job-detail/web-development-internship-in-ahmedabad-maxgen-technologies-ahmedabad-mehsana-rajkot-surat-surendranagar-0-to-1-yrs-jobid-hNaupyOp__SLASH__DBzpSvf__PLUS__uAgZw==&source=srp"
185;"
GoogleIndiaPvtLtd

";"
softwareengineering,fullstackdevelopment,datastructures,distributedsystems,securityconcepts,algorithms,java,machinelearning,javascript

";"https://www.timesjobs.com/job-detail/software-engineer-full-stack-google-india-pvt-ltd-2-to-5-yrs-jobid-DihxLyrRBWBzpSvf__PLUS__uAgZw==&source=srp"
